ID,NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_det,tu_geo,tu_ch,td_det,td_geo,td_ch,qu_geo,qu_ch,qd_geo,qd_ch,is_tref,is_hpc,id_hpc,Ignore
42,212,13,3,2,-555.4,0,9675.64,0.0976603,-5,0,0.0517866,78.7447,0.097661,0,0,0.0540604,96.1811,7.119690,-8.106780,0,42,11,75,42,11,91,23,11,23,27,0,0,0,0
43,213,13,3,2,-433,0,9675.64,0.0976609,-5,0,0.0449028,85.9549,0.0976605,0,0,0.050892,82.2627,7.291160,0.156995,0,42,11,76,42,11,92,23,12,23,28,0,0,0,0
44,214,13,3,2,-310.6,0,9675.64,0.0976609,-5,0,0.047503,79.2271,0.097661,0,0,0.0482771,83.1874,7.194860,4.149390,0,42,11,77,42,11,93,23,13,23,29,0,0,0,0
45,215,13,3,2,-188.2,0,9675.64,0.0976609,-5,0,0.0491317,86.0255,0.0976601,0,0,0.0499089,72.0262,7.241260,-0.210996,0,42,11,78,42,11,94,23,14,23,30,0,0,0,0
46,216,13,3,2,-65.8,0,9675.64,0.0976602,-5,0,0.0467229,78.2498,0.0976606,0,0,0.049933,83.9751,7.135650,-0.893831,0,42,11,45,42,11,61,22,13,22,29,0,0,0,0
47,217,13,3,2,56.6,0,9675.64,0.0976594,-5,0,0.0442169,67.8656,0.09766,0,0,0.048933,69.9964,7.334990,0.177612,0,42,12,1,42,12,17,24,1,24,17,0,0,0,0
48,218,13,3,2,179,0,9675.64,0.0976589,-5,0,0.0486248,77.3249,0.0976593,0,0,0.0470768,64.2964,7.253510,-0.259469,0,42,12,2,42,12,18,24,2,24,18,0,0,0,0
49,219,13,3,2,301.4,0,9675.64,0.0976591,-5,0,0.0506334,61.1931,0.0976595,0,0,0.0452938,62.1867,7.197820,5.227050,0,42,12,3,42,12,19,24,3,24,19,0,0,0,0
50,220,13,3,2,423.8,0,9675.64,0.097659,-5,0,0.0541583,101.239,0.0976593,0,0,0.047406,44.4543,7.186650,6.816230,0,42,12,4,42,12,20,24,4,24,20,0,0,0,0
51,221,13,3,2,546.2,0,9675.64,0.0976596,-5,0,0.0488571,90.1162,0.0976597,0,0,0.0496548,58.8883,7.194830,1.704780,0,42,12,5,42,12,21,24,5,24,21,0,0,0,0
52,222,13,3,2,668.6,0,9675.64,0.0976593,-5,0,0.0517713,94.3231,0.0976597,0,0,0.048257,58.3002,7.170550,3.825630,0,42,12,6,42,12,22,24,6,24,22,0,0,0,0
53,223,13,3,2,791,0,9675.64,0.0976594,-5,0,0.047839,59.6595,0.0976596,0,0,0.0469302,37.0468,7.121090,4.153580,0,42,12,7,42,12,23,24,7,24,23,0,0,0,0
54,224,13,3,2,913.4,0,9675.64,0.0976594,-5,0,0.0475276,82.3009,0.0976596,0,0,0.0467713,55.1775,7.192840,0.330984,0,42,12,8,42,12,24,24,8,24,24,0,0,0,0
55,225,13,3,2,1035.8,0,9675.64,0.0976595,-5,0,0.0489175,76.4453,0.0976594,0,0,0.0471985,61.6848,7.200200,-4.753040,0,42,12,9,42,12,25,24,9,24,25,0,0,0,0
56,226,13,3,2,1158.2,0,9675.64,0.0976592,-5,0,0.0500053,83.2295,0.0976594,0,0,0.0436479,75.2334,7.179650,-4.351550,0,42,12,10,42,12,26,24,10,24,26,0,0,0,0
57,227,13,3,2,1280.6,0,9675.64,0.0976594,-5,0,0.0560783,76.2747,0.0976594,0,0,0.0464073,67.2428,7.226620,-11.259000,0,42,12,11,42,12,27,24,11,24,27,0,0,0,0
58,228,13,3,2,1403,0,9675.64,0.0976593,-5,0,0.053684,77.8442,0.0976598,0,0,0.0514688,56.1864,7.355170,-3.935760,0,42,12,12,42,12,28,24,12,24,28,0,0,0,0
59,229,13,3,2,1525.4,0,9675.64,0.0976587,-5,0,0.0477863,74.7593,0.0976593,0,0,0.0459375,58.1304,7.288410,1.349600,0,42,12,13,42,12,29,24,13,24,29,0,0,0,0
60,230,13,3,2,1647.8,0,9675.64,0.0976602,-5,0,0.0508805,89.225,0.0976596,0,0,0.0538673,89.8876,7.041980,13.595000,0,42,12,14,42,12,30,24,14,24,30,0,0,0,0
61,301,13,4,1,-1901.8,0,10405.95,0.0976587,-10,0,0.0499406,64.4249,0.0976417,0,0,0.0485905,65.5162,6.920890,11.120300,0,44,13,15,44,13,31,26,15,26,31,0,0,0,0
62,302,13,4,1,-1779.4,0,10405.95,0.0976587,-10,0,0.0475934,79.5817,0.0976595,0,0,0.0461189,92.821,7.062470,-0.404744,0,44,13,1,44,13,17,26,1,26,17,0,0,0,0
63,303,13,4,1,-1657,0,10405.95,0.0976594,-10,0,0.0474724,100.431,0.0976582,0,0,0.0490247,99.4194,7.251390,-0.008355,0,44,13,2,44,13,18,26,2,26,18,0,0,0,0
64,304,13,4,1,-1534.6,0,10405.95,0.0976592,-10,0,0.0497465,73.9197,0.0976583,0,0,0.0488865,94.3576,7.136810,7.111490,0,44,13,3,44,13,19,26,3,26,19,0,0,0,0
65,305,13,4,1,-1412.2,0,10405.95,0.0976596,-10,0,0.0492529,95.4276,0.0976587,0,0,0.0507609,104.611,7.300530,16.301400,0,44,13,4,44,13,20,26,4,26,20,0,0,0,0
66,306,13,4,1,-1289.8,0,10405.95,0.0976587,-10,0,0.0507312,89.7454,0.0976592,0,0,0.05036,98.0046,7.481380,0.200048,0,44,13,5,44,13,21,26,5,26,21,0,0,0,0
67,307,13,4,1,-1167.4,0,10405.95,0.0976585,-10,0,0.0501291,93.5355,0.0976587,0,0,0.0481574,85.6094,6.900750,2.052410,0,44,13,6,44,13,22,26,6,26,22,0,0,0,0
68,308,13,4,1,-1045,0,10405.95,0.0976594,-10,0,0.0500446,97.1978,0.0976585,0,0,0.0486966,79.3239,7.054530,5.927840,0,44,13,7,44,13,23,26,7,26,23,0,0,0,0
69,309,13,4,1,-922.6,0,10405.95,0.0976597,-10,0,0.0491145,74.6149,0.0976592,0,0,0.0533352,94.8974,6.968350,3.623840,0,44,13,8,44,13,24,26,8,26,24,0,0,0,0
70,310,13,4,1,-800.2,0,10405.95,0.0976596,-10,0,0.0479308,73.0348,0.0976593,0,0,0.0471609,83.5105,7.134500,4.394470,0,44,13,9,44,13,25,26,9,26,25,0,0,0,0
71,311,13,4,1,-677.8,0,10405.95,0.0976588,-10,0,0.0482356,98.8068,0.0976592,0,0,0.0515652,101.895,7.325210,5.533240,0,44,13,10,44,13,26,26,10,26,26,0,0,0,0
72,312,13,4,1,-555.4,0,10405.95,0.0976589,-10,0,0.047209,98.2543,0.0976585,0,0,0.0473903,97.5534,7.085270,4.607620,0,44,13,11,44,13,27,26,11,26,27,0,0,0,0
73,313,13,4,1,-433,0,10405.95,0.0976585,-10,0,0.0489382,103.232,0.0976594,0,0,0.0455747,72.0302,7.320120,8.079650,0,44,13,12,44,13,28,26,12,26,28,0,0,0,0
74,314,13,4,1,-310.6,0,10405.95,0.0976588,-10,0,0.0465405,89.0793,0.0976594,0,0,0.0487796,68.8719,7.194710,7.711180,0,44,13,13,44,13,29,26,13,26,29,0,0,0,0
75,315,13,4,1,-188.2,0,10405.95,0.0976593,-10,0,0.0466061,78.7112,0.0976584,0,0,0.0500375,88.6463,7.159710,3.471330,0,44,13,14,44,13,30,26,14,26,30,0,0,0,0
76,316,13,4,1,-65.8,0,10405.95,0.0976593,-10,0,0.0454661,33.5154,0.0976591,0,0,0.0489652,76.9352,7.047680,6.273110,0,44,13,47,44,13,63,27,15,27,31,0,0,0,0
77,317,13,4,1,56.6,0,10405.95,0.0976591,-10,0,0.0427501,38.8081,0.097659,0,0,0.0466744,66.2333,7.013020,5.687820,0,44,13,33,44,13,49,27,1,27,17,0,0,0,0
78,318,13,4,1,179,0,10405.95,0.0976592,-10,0,0.0475328,74.7977,0.0976589,0,0,0.0451569,61.4066,6.964920,7.327240,0,44,13,34,44,13,50,27,2,27,18,0,0,0,0
79,319,13,4,1,301.4,0,10405.95,0.0976593,-10,0,0.0461429,45.6401,0.0976589,0,0,0.0471372,95.523,7.728120,13.225200,0,44,13,35,44,13,51,27,3,27,19,0,0,0,0
80,320,13,4,1,423.8,0,10405.95,0.0976592,-10,0,0.0496178,60.6784,0.0976591,0,0,0.0501204,94.1044,7.256950,-6.693200,0,44,13,36,44,13,52,27,4,27,20,0,0,0,0
81,321,13,4,1,546.2,0,10405.95,0.0976592,-10,0,0.0445472,66.4377,0.097659,0,0,0.0455483,79.7247,7.208820,0.356057,0,44,13,37,44,13,53,27,5,27,21,0,0,0,0
82,322,13,4,1,668.6,0,10405.95,0.0976591,-10,0,0.0449788,56.9176,0.0976592,0,0,0.0479975,88.5508,7.103880,6.772070,0,44,13,38,44,13,54,27,6,27,22,0,0,0,0
83,323,13,4,1,791,0,10405.95,0.097659,-10,0,0.0484712,57.2172,0.0976589,0,0,0.0485378,78.0945,7.354400,7.783210,0,44,13,39,44,13,55,27,7,27,23,0,0,0,0
84,324,13,4,1,913.4,0,10405.95,0.0976591,-10,0,0.0459452,40.1717,0.0976593,0,0,0.0483894,94.9736,7.499480,1.457950,0,44,13,40,44,13,56,27,8,27,24,0,0,0,0
85,325,13,4,1,1035.8,0,10405.95,0.0976592,-10,0,0.0467001,56.3318,0.0976591,0,0,0.0479156,93.8303,7.580440,3.206920,0,44,13,41,44,13,57,27,9,27,25,0,0,0,0
86,326,13,4,1,1158.2,0,10405.95,0.0976592,-10,0,0.0462374,57.2286,0.0976592,0,0,0.0454496,68.7954,6.999010,7.191350,0,44,13,42,44,13,58,27,10,27,26,0,0,0,0
