ID,NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch,TDC_ID,hodfu_tdc_ped,hodfu_tdc_coef,hodfd_tdc_ped,hodfd_tdc_coef
31,HODP10,13,-3.4515600000000002,0.027083800000000002,-0.110281,0.031246300000000001,365.28399999999999,0.067651956702747679,386.05500000000001,0.06358522866226464,34,5,9,5,25,33,3,9,3,25,-150985192,-4.936,0.031,-8.317,0.031
32,HODP9,13,-0.88036300000000001,0.0221167,-3.6070600000000002,0.0267815,375.209,0.051401684393657832,378.49299999999999,0.04998654208482331,34,5,8,5,24,33,3,8,3,24,1,-4.936,0.031,-7.400,0.031
33,HODP8,13,2.1577299999999999,0.0268417,-0.38990900000000001,0.031066699999999999,383.23000000000002,0.055865921787709542,353.64699999999999,0.062341149954442981,34,5,7,5,23,33,3,7,3,23,713070592,-7.641,0.031,-4.703,0.031
34,HODP7,13,-1.0021599999999999,0.021916100000000001,1.12233,0.0244148,398.71800000000002,0.062554133384659857,378.524,0.068507588532883648,34,5,6,5,22,33,3,6,3,22,1,-7.797,0.031,-5.266,0.031
35,HODP13,13,2.0209999999999999,0.023270300000000001,-0.23577500000000001,0.0309463,384.78399999999999,0.062753427302568041,375.24299999999999,0.06115632497530224,34,5,12,5,28,33,3,5,3,21,713071354,-7.391,0.031,-4.891,0.031
36,HODP5,13,3.2359800000000001,0.020253699999999999,-0.27102999999999999,0.031126999999999998,374.18900000000002,0.04435194977994613,366.137,0.047509410517852575,34,5,4,5,20,33,3,4,3,20,1,-7.218,0.031,-5.311,0.031
37,HODP11,13,2.2875899999999998,0.026905100000000001,-0.102438,0.0312289,405.88799999999998,0.095503967087863489,355.12900000000002,0.10508447174844411,34,5,10,5,26,33,3,10,3,26,713071355,-7.141,0.031,-4.682,0.031
38,HODP16,13,-3.4068399999999999,0.027123000000000001,-3.60385,0.026770100000000002,394.35300000000001,0.053836915558868617,364.61399999999998,0.068834056973419377,34,5,15,5,31,33,3,2,3,18,1,-7.109,0.031,-4.937,0.031
39,HODP2,13,-0.83393899999999999,0.0221756,0.0494005,0.031326699999999999,381.16500000000002,0.045879654137991915,342.44900000000001,0.048057373110051406,34,5,1,5,17,33,3,14,3,30,0,-4.475,0.031,-3.718,0.031
40,HODP14,13,1.6122000000000001,0.0246924,-0.055725700000000003,0.031249900000000001,381.428,0.080886012941762064,356.42200000000003,0.086218331343679677,34,5,13,5,29,33,3,13,3,29,0,-6.937,0.031,-3.797,0.031
