ID,NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch,TDC_ID,hodfu_tdc_ped,hodfu_tdc_coef,hodfd_tdc_ped,hodfd_tdc_coef
22,HODF22,13,-1.56704,0.0243365,-2.39263,0.026341199999999999,197.56800000000001,0.0092902266815310299,184.29599999999999,0.0083224501293180705,32,6,5,6,13,31,3,5,3,13,21,-7.249,0.031,-7.109,0.031
23,HODF23,13,-1.51654,0.024670000000000001,0.164053,0.0234218,184.58000000000001,0.010162601626016262,224.59700000000001,0.010664216631256,32,6,6,6,14,31,3,6,3,14,22,-6.828,0.031,-4.475,0.031
24,HODF24,13,0.85909400000000002,0.0325581,-2.3536999999999999,0.026425899999999999,193.21600000000001,0.0086502887865641063,210.298,0.0090151315515734874,32,6,7,6,15,31,3,7,3,15,23,-6.870,0.031,-6.937,0.031
25,HODP3,13,-1.04732,0.021844700000000002,-1.2097500000000001,0.021596299999999999,313.062,0.045681354979267653,301.577,0.051979208316673353,34,5,2,5,18,33,3,15,3,31,-126129584,-3.594,0.031,-7.519,0.031
26,HODP15,13,-1.0615300000000001,0.021823200000000001,-1.21993,0.0215979,300.681,0.043482623674616194,266.133,0.029340736226781312,34,5,14,5,30,33,3,1,3,17,1,-4.100,0.031,-7.537,0.031
27,HODP1,13,-1.02033,0.021898500000000001,-1.1525000000000001,0.0216838,313.402,0.055084745762711815,287.559,0.053533190578158481,34,5,0,5,16,33,3,0,3,16,0,-3.937,0.031,-7.791,0.031
28,HODP6,13,-1.00939,0.021932799999999999,-2.7814100000000002,0.025186699999999999,301.128,0.053533190578158481,304.46 ,0.053533190578158481,34,5,5,5,21,33,3,12,3,28,0,-4.444,0.031,-7.587,0.031
29,HODP12,13,-0.89023099999999999,0.022071,-0.0823966,0.0312359,314.662,0.051605732205946622,328.499,0.058709298649686208,34,5,11,5,27,33,3,11,3,27,-126131200,-4.686,0.031,-8.030,0.031
30,HODP4,13,-3.5333899999999998,0.026931,-0.90935200000000005,0.017860600000000001,336.817,0.071291472443103868,289.65 ,0.09181439367186954,34,5,3,5,19,33,3,3,3,19,1,-5.422,0.031,-7.636,0.031
31,HODP10,13,-3.4515600000000002,0.027083800000000002,-0.110281,0.031246300000000001,288.738,0.067651956702747679,305.877,0.06358522866226464,34,5,9,5,25,33,3,9,3,25,-150985192,-4.936,0.031,-8.317,0.031
32,HODP9,13,-0.88036300000000001,0.0221167,-3.6070600000000002,0.0267815,296.528,0.051401684393657832,302.051,0.04998654208482331,34,5,8,5,24,33,3,8,3,24,1,-4.936,0.031,-7.400,0.031
33,HODP8,13,2.1577299999999999,0.0268417,-0.38990900000000001,0.031066699999999999,307.126,0.055865921787709542,283.353,0.062341149954442981,34,5,7,5,23,33,3,7,3,23,713070592,-7.641,0.031,-4.703,0.031
34,HODP7,13,-1.0021599999999999,0.021916100000000001,1.12233,0.0244148,323.384,0.062554133384659857,300.075,0.068507588532883648,34,5,6,5,22,33,3,6,3,22,1,-7.797,0.031,-5.266,0.031
35,HODP13,13,2.0209999999999999,0.023270300000000001,-0.23577500000000001,0.0309463,311.465,0.062753427302568041,297.303,0.06115632497530224,34,5,12,5,28,33,3,5,3,21,713071354,-7.391,0.031,-4.891,0.031
36,HODP5,13,3.2359800000000001,0.020253699999999999,-0.27102999999999999,0.031126999999999998,297.874,0.04435194977994613,291.812,0.047509410517852575,34,5,4,5,20,33,3,4,3,20,1,-7.218,0.031,-5.311,0.031
37,HODP11,13,2.2875899999999998,0.026905100000000001,-0.102438,0.0312289,312.103,0.095503967087863489,326.588,0.10508447174844411,34,5,10,5,26,33,3,10,3,26,713071355,-7.141,0.031,-4.682,0.031
38,HODP16,13,-3.4068399999999999,0.027123000000000001,-3.60385,0.026770100000000002,318.453,0.053836915558868617,296.827,0.068834056973419377,34,5,15,5,31,33,3,2,3,18,1,-7.109,0.031,-4.937,0.031
39,HODP2,13,-0.83393899999999999,0.0221756,0.0494005,0.031326699999999999,311.295,0.045879654137991915,308.739,0.048057373110051406,34,5,1,5,17,33,3,14,3,30,0,-4.475,0.031,-3.718,0.031
40,HODP14,13,1.6122000000000001,0.0246924,-0.055725700000000003,0.031249900000000001,297.605,0.080886012941762064,296.177,0.086218331343679677,34,5,13,5,29,33,3,13,3,29,0,-6.937,0.031,-3.797,0.031
